JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2435300.6	8.7			Vis.	HHG								V				RX BOO		STD				
2435300.6	8.6			Vis.	SN								V				RX BOO		STD				
2435300.7	8.6			Vis.	OV								V				RX BOO		STD				
2435306.7	8.5			Vis.	OV								V				RX BOO		STD				
2435308.6	8.3			Vis.	AWC								V				RX BOO		STD				
2435308.6	8.5			Vis.	SK								V				RX BOO		STD				
2435315.31	8.2			Vis.	ELD								V				RX BOO		STD				
2435319.7	8.6			Vis.	SK								V				RX BOO		STD				
2435327.6	8.4			Vis.	AWC								V				RX BOO		STD				
2435328.6	8.5			Vis.	SK								V				RX BOO		STD				
2435328.6	8.5			Vis.	SN	X							V				RX BOO		STD				
2435328.7	8.6			Vis.	OV								V				RX BOO		STD				
2435335.6	8.5			Vis.	SK								V				RX BOO		STD				
2435335.7	8.6			Vis.	OV								V				RX BOO		STD				
2435340.29	8.2			Vis.	ELD								V				RX BOO		STD				
2435340.6	8.5			Vis.	SK								V				RX BOO		STD				
2435344.6	8.4			Vis.	AWC								V				RX BOO		STD				
2435345.6	8.5			Vis.	SK								V				RX BOO		STD				
2435345.7	8.6			Vis.	OV								V				RX BOO		STD				
2435358.6	8.5			Vis.	AWC								V				RX BOO		STD				
2435358.6	8.6			Vis.	OV								V				RX BOO		STD				
2435358.6	8.4			Vis.	SK								V				RX BOO		STD				
2435358.6	8.3			Vis.	SN								V				RX BOO		STD				
2435363.6	8.5			Vis.	AWC								V				RX BOO		STD				
2435363.6	8.3			Vis.	SK								V				RX BOO		STD				
2435364.6	8.6			Vis.	OV								V				RX BOO		STD				
2435371.5	8.4			Vis.	SN								V				RX BOO		STD				
2435371.6	8.6			Vis.	OV								V				RX BOO		STD				
2435371.6	8.3			Vis.	SK								V				RX BOO		STD				
2435376.5	8.6			Vis.	AWC								V				RX BOO		STD				
